work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,filename
2023,EX,FT,Data Analyst,81000.0,EUR,81000.0,DE,100.0,DE,M,
2023,EX,FT,Data Scientist,129600.0,EUR,129600.0,DE,100.0,DE,M,
2023,EX,FT,Machine Learning Engineer,972000.0,EUR,9720.0,DE,100.0,DE,M,
2023,EX,FT,Data Engineer,81000.0,EUR,81000.0,DE,0.0,DE,M,
2023,EX,FT,Data Scientist,194400.0,EUR,194400.0,DE,100.0,DE,M,
2023,EX,FT,Machine Learning Engineer,178200.0,EUR,178200.0,DE,0.0,DE,M,
2023,EX,FT,Data Analyst,127116.0,EUR,127116.0,DE,0.0,DE,M,
2023,EX,FT,Data Scientist,125550.0,EUR,125550.0,DE,0.0,DE,M,
2023,EX,FT,Data Analyst,121500.0,EUR,121500.0,DE,0.0,DE,M,
2023,EX,FT,Data Engineer,145800.0,EUR,145800.0,DE,100.0,DE,M,
2023,EX,FT,Data Analyst,140940.0,EUR,140940.0,DE,100.0,DE,M,
2023,EX,FT,Machine Learning Engineer,123120.0,EUR,123120.0,DE,0.0,DE,M,
2023,EX,FT,Data Scientist,121500.0,EUR,121500.0,DE,100.0,DE,M,
2023,EX,FT,Data Scientist,125550.0,EUR,125550.0,DE,100.0,DE,M,
2023,EX,FT,Machine Learning Engineer,97200.0,EUR,97200.0,DE,100.0,DE,M,
2023,EX,FT,Data Engineer,153900.0,EUR,153900.0,DE,100.0,DE,M,
2023,EX,FT,Data Scientist,178200.0,EUR,178200.0,DE,100.0,DE,M,
2023,EX,FT,Data Analyst,108000.0,EUR,108000.0,DE,100.0,DE,M,
2023,EX,FT,Data Scientist,129600.0,EUR,129600.0,DE,0.0,DE,M,
2023,EX,FT,Machine Learning Engineer,171000.0,EUR,171000.0,DE,100.0,DE,M,
2023,EX,FT,Data Engineer,97200.0,EUR,97200.0,DE,0.0,DE,M,
2023,EX,FT,Data Scientist,97200.0,EUR,97200.0,DE,100.0,DE,M,
2023,EX,FT,Data Analyst,107730.0,EUR,107730.0,DE,0.0,DE,M,
2023,EX,FT,Data Engineer,105300.0,EUR,105300.0,DE,0.0,DE,M,
2023,EX,FT,Data Analyst,81000.0,EUR,81000.0,DE,100.0,DE,M,
2023,EX,FT,Data Scientist,121500.0,EUR,121500.0,DE,0.0,DE,M,
2023,EX,FT,Machine Learning Engineer,153900.0,EUR,153900.0,DE,0.0,DE,M,
2023,EX,FT,Data Scientist,106920.0,EUR,106920.0,DE,100.0,DE,M,
2023,EX,FT,Data Scientist,153900.0,EUR,153900.0,DE,100.0,DE,M,
2023,EX,FT,Data Engineer,139500.0,EUR,139500.0,DE,100.0,DE,M,
2023,EX,FT,Data Scientist,130500.0,EUR,130500.0,DE,0.0,DE,M,
2023,EX,FT,Data Engineer,153900.0,EUR,153900.0,DE,0.0,DE,M,
2023,EX,FT,Data Scientist,112500.0,EUR,112500.0,DE,0.0,DE,M,
2023,EX,FT,Data Scientist,98010.0,EUR,98010.0,DE,0.0,DE,M,
2023,EX,FT,Data Scientist,106920.0,EUR,106920.0,DE,0.0,DE,M,
2023,EX,FT,Data Scientist,98010.0,EUR,98010.0,DE,100.0,DE,M,
2023,EX,FT,Data Engineer,117000.0,EUR,117000.0,DE,100.0,DE,M,
2023,EX,FT,Data Analyst,140940.0,EUR,140940.0,DE,0.0,DE,M,
2023,EX,FT,Data Analyst,121500.0,EUR,121500.0,DE,0.0,DE,M,
2023,EX,FT,Data Scientist,178200.0,EUR,178200.0,DE,0.0,DE,M,
2023,EX,FT,Data Engineer,121500.0,EUR,121500.0,DE,0.0,DE,M,
2023,EX,FT,Data Scientist,129600.0,EUR,129600.0,DE,0.0,DE,M,
2023,EX,FT,Machine Learning Engineer,113400.0,EUR,113400.0,DE,0.0,DE,M,
2023,EX,FT,Data Scientist,105300.0,EUR,105300.0,DE,0.0,DE,M,
2023,EX,FT,Data Engineer,125550.0,EUR,125550.0,DE,0.0,DE,M,
2023,EX,FT,Data Scientist,129600.0,EUR,129600.0,DE,100.0,DE,M,
2023,EX,FT,Data Scientist,194400.0,EUR,194400.0,DE,0.0,DE,M,
2023,EX,FT,Data Scientist,121500.0,EUR,121500.0,DE,100.0,DE,M,
2023,EX,FT,Data Scientist,153900.0,EUR,153900.0,DE,100.0,DE,M,
2023,EX,FT,Data Scientist,125550.0,EUR,125550.0,DE,100.0,DE,M,
2023,EX,FT,Data Scientist,194400.0,EUR,194400.0,DE,0.0,DE,M,
2023,EX,FT,Data Scientist,121500.0,EUR,121500.0,DE,0.0,DE,M,
2023,EX,FT,Data Scientist,81000.0,EUR,81000.0,DE,0.0,DE,M,
2023,EX,FT,Data Scientist,85050.0,EUR,85050.0,DE,0.0,DE,M,
2023,SE,FT,Research Scientist,151560.0,EUR,151560.0,DE,0.0,DE,M,
2023,SE,FT,Research Scientist,81630.0,EUR,81630.0,DE,0.0,DE,M,
2023,SE,FT,Data Engineer,167310.0,EUR,167310.0,DE,0.0,DE,M,
2023,SE,FT,Data Engineer,116370.0,EUR,116370.0,DE,0.0,DE,M,
2023,SE,FT,Data Analyst,152100.0,EUR,152100.0,DE,0.0,DE,M,
2023,SE,FT,Data Analyst,99000.0,EUR,99000.0,DE,0.0,DE,M,
2023,SE,FT,Data Analyst,72000.0,EUR,72000.0,DE,0.0,DE,M,
2023,SE,FT,Data Analyst,63000.0,EUR,63000.0,DE,0.0,DE,M**,
2023,SE,FT,Data Analyst,122855.0,EUR,122850.0,DE,100.0,DE,M,
2023,SE,FT,Data Analyst,90805.0,EUR,90800.0,DE,100.0,DE,M,
2023,SE,FT,Machine Learning Engineer,180000.0,EUR,180000.0,DE,100.0,DE,M,
2023,SE,FT,Machine Learning Engineer,135000.0,EUR,135000.0,DE,100.0,DE,M,
2023,SE,FT,Data Engineer,247770.0,EUR,247770.0,DE,100.0,DE,M,
2023,SE,FT,Data Engineer,165150.0,EUR,165150.0,DE,100.0,DE,M,
2023,SE,FT,Data Scientist,151560.0,EUR,151560.0,DE,0.0,DE,M,
2023,SE,FT,Data Scientist,94680.0,EUR,94680.0,DE,0.0,DE,M,
2023,MI,FT,Data Architect,216000.0,EUR,216000.0,DE,100.0,DE,M,
2023,MI,FT,Data Architect,135000.0,EUR,135000.0,DE,100.0,DE,M,
2023,MI,FT,Data Scientist,117000.0,EUR,117000.0,DE,0.0,DE,M,
2023,MI,FT,Data Scientist,108000.0,EUR,108000.0,DE,0.0,DE,M,
2023,MI,FT,Data Analyst,9000.0,EUR,9000.0,DE,100.0,DE,S,
2023,MI,FT,Data Analyst,83700.0,EUR,83700.0,DE,100.0,DE,L,
2023,SE,FT,Applied Scientist,222200.0,EUR,222200.0,DE,0.0,DE,M,
2023,SE,FT,Applied Scientist,131310.0,EUR,131310.0,DE,0.0,DE,M,
2023,SE,FT,Data Analyst,159300.0,EUR,159300.0,DE,100.0,DE,M,
2023,SE,FT,Data Analyst,106200.0,EUR,106200.0,DE,100.0,DE,M,
2023,SE,FT,Data Analyst,108315.0,EUR,108310.0,DE,0.0,DE,M,
2023,SE,FT,Data Analyst,66960.0,EUR,66960.0,DE,0.0,DE,M,
2023,SE,FT,Machine Learning Engineer,105000.0,EUR,105000.0,DE,100.0,DE,M,
2023,SE,FT,Machine Learning Engineer,77400.0,EUR,77400.0,DE,100.0,DE,M,
2023,SE,FT,Machine Learning Engineer,103500.0,EUR,103500.0,DE,0.0,DE,M,
2023,SE,FT,Machine Learning Engineer,129870.0,EUR,129870.0,DE,0.0,DE,M,
2023,SE,FT,Data Engineer,18000.0,EUR,18000.0,DE,0.0,DE,M,
2023,SE,FT,Data Engineer,108000.0,EUR,108000.0,DE,0.0,DE,M,
2023,SE,FT,Data Engineer,97200.0,EUR,97200.0,DE,100.0,DE,M,
2023,SE,FT,Data Engineer,222200.0,EUR,222200.0,DE,100.0,DE,M,
2023,SE,FT,Data Engineer,124470.0,EUR,124470.0,DE,0.0,DE,M,
2023,SE,FT,Data Engineer,108000.0,EUR,108000.0,DE,0.0,DE,M,
2023,SE,FT,Data Engineer,73800.0,EUR,73800.0,DE,100.0,DE,M,
2023,SE,FT,Data Engineer,87000.0,EUR,87000.0,DE,100.0,DE,M,
2023,SE,FT,Data Scientist,136890.0,EUR,136890.0,DE,100.0,DE,M,
2023,SE,FT,Data Scientist,106200.0,EUR,106200.0,DE,100.0,DE,M,
2023,SE,FT,Data Scientist,149670.0,EUR,149670.0,DE,0.0,DE,M,
2023,SE,FT,Data Scientist,114000.0,EUR,114000.0,DE,0.0,DE,M,
2023,SE,FT,Data Scientist,135000.0,EUR,135000.0,DE,100.0,DE,M,
2023,SE,FT,Data Scientist,85500.0,EUR,85500.0,DE,100.0,DE,M,
2023,SE,FT,Data Scientist,99000.0,EUR,99000.0,DE,0.0,DE,M,
2023,SE,FT,Data Scientist,78300.0,EUR,78300.0,DE,0.0,DE,M,
2023,SE,FT,Data Scientist,74700.0,EUR,74700.0,DE,0.0,DE,M,
2023,EN,FT,Data Scientist,44496.0,EUR,44496.0,,0.0,DE,,1686407249.079684.txt
2021,EN,FT,Data Scientist,44000.0,EUR,44000.0,,0.0,DE,,1686407291.4885151.txt
2023,EN,FT,Data Scientist,48000.0,EUR,48000.0,,0.0,DE,,1686407425.0590684.txt
2021,SE,FT,Data Engineer,90000.0,EUR,90000.0,,50.0,DE,,1686407473.343975.txt
2022,EN,FT,Data Scientist,90000.0,EUR,90000.0,,100.0,DE,,1686407501.4927547.txt
2023,EN,FT,Data Scientist,22284.0,EUR,22284.0,,0.0,DE,,1686407568.7649038.txt
2021,SE,FT,Data Scientist,90000.0,EUR,90000.0,,100.0,DE,,1686407628.999146.txt
2023,EN,FT,Data Scientist,22284.0,EUR,22284.0,,0.0,DE,,1686407675.8746548.txt
2021,MI,FT,Machine Learning Engineer,100000.0,EUR,100000.0,,100.0,DE,,1686407697.0163987.txt
2023,SE,FT,Others,65970.0,EUR,65970.0,,0.0,DE,,1686407742.0917232.txt
2021,SE,FT,Data Scientist,85000.0,EUR,85000.0,,50.0,DE,,1686407830.791379.txt
2023,EX,FT,Data Scientist,95000.0,EUR,95000.0,,0.0,DE,,1686407960.291482.txt
2021,MI,FT,Machine Learning Engineer,95000.0,EUR,95000.0,,0.0,DE,,1686407990.3788738.txt
2023,SE,FT,Data Engineer,74000.0,EUR,74000.0,,100.0,DE,,1686408021.126602.txt
2023,EN,FT,Data Scientist,48000.0,EUR,48000.0,,100.0,DE,,1686408086.625323.txt
2021,SE,FT,Data Scientist,80000.0,EUR,80000.0,,0.0,DE,,1686408238.761056.txt
2023,SE,FT,Data Scientist,80000.0,EUR,80000.0,,70.0,DE,,1686408397.8940654.txt
2023,SE,FT,Data Scientist,40000.0,EUR,40000.0,,100.0,DE,,1686408572.1586902.txt
2023,SE,FT,Data Scientist,40000.0,EUR,40000.0,,100.0,DE,,1686408725.8937166.txt
2023,SE,FT,Others,100000.0,EUR,100000.0,,100.0,DE,,1686408810.3665037.txt
2023,SE,FT,Data Scientist,60000.0,EUR,60000.0,,100.0,DE,,1686409000.7672546.txt
2023,SE,FT,Others,85000.0,EUR,85000.0,,100.0,DE,,1686409100.34332.txt
2023,SE,FT,Others,80000.0,EUR,80000.0,,100.0,DE,,1686409172.4912007.txt
2023,MI,FT,Data Architect,22368.0,EUR,22368.0,,50.0,DE,,1686409240.3006682.txt
2021,SE,FT,Data Scientist,70000.0,EUR,70000.0,,0.0,DE,,1686409255.8459241.txt
2023,SE,FT,Others,22368.0,EUR,22368.0,,0.0,DE,,1686409738.9365907.txt
2022,EN,FT,Others,79200.0,EUR,79200.0,,100.0,DE,,1686409791.592583.txt
2023,SE,FT,Others,130000.0,EUR,130000.0,,100.0,DE,,1686409835.612264.txt
2023,SE,FT,Others,80000.0,EUR,80000.0,,20.0,DE,,1686409844.8121483.txt
2021,EN,FT,Machine Learning Engineer,50000.0,EUR,50000.0,,50.0,DE,,1686409856.6817195.txt
2023,EN,FT,Data Engineer,75000.0,EUR,75000.0,,0.0,DE,,1686409967.8105314.txt
