work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,EX,FT,Data Analyst,81000,EUR,81000,DE,100,DE,M
2023,EX,FT,Data Scientist,129600,EUR,129600,DE,100,DE,M
2023,EX,FT,Machine Learning Engineer,972000,EUR,9720,DE,100,DE,M
2023,EX,FT,Data Engineer,81000,EUR,81000,DE,0,DE,M
2023,EX,FT,Data Scientist,194400,EUR,194400,DE,100,DE,M
2023,EX,FT,Machine Learning Engineer,178200,EUR,178200,DE,0,DE,M
2023,EX,FT,Data Analyst,127116,EUR,127116,DE,0,DE,M
2023,EX,FT,Data Scientist,125550,EUR,125550,DE,0,DE,M
2023,EX,FT,Data Analyst,121500,EUR,121500,DE,0,DE,M
2023,EX,FT,Data Engineer,145800,EUR,145800,DE,100,DE,M
2023,EX,FT,Data Analyst,140940,EUR,140940,DE,100,DE,M
2023,EX,FT,Machine Learning Engineer,123120,EUR,123120,DE,0,DE,M
2023,EX,FT,Data Scientist,121500,EUR,121500,DE,100,DE,M
2023,EX,FT,Data Scientist,125550,EUR,125550,DE,100,DE,M
2023,EX,FT,Machine Learning Engineer,97200,EUR,97200,DE,100,DE,M
2023,EX,FT,Data Engineer,153900,EUR,153900,DE,100,DE,M
2023,EX,FT,Data Scientist,178200,EUR,178200,DE,100,DE,M
2023,EX,FT,Data Analyst,108000,EUR,108000,DE,100,DE,M
2023,EX,FT,Data Scientist,129600,EUR,129600,DE,0,DE,M
2023,EX,FT,Machine Learning Engineer,171000,EUR,171000,DE,100,DE,M
2023,EX,FT,Data Engineer,97200,EUR,97200,DE,0,DE,M
2023,EX,FT,Data Scientist,97200,EUR,97200,DE,100,DE,M
2023,EX,FT,Data Analyst,107730,EUR,107730,DE,0,DE,M
2023,EX,FT,Data Engineer,105300,EUR,105300,DE,0,DE,M
2023,EX,FT,Data Analyst,81000,EUR,81000,DE,100,DE,M
2023,EX,FT,Data Scientist,121500,EUR,121500,DE,0,DE,M
2023,EX,FT,Machine Learning Engineer,153900,EUR,153900,DE,0,DE,M
2023,EX,FT,Data Scientist,106920,EUR,106920,DE,100,DE,M
2023,EX,FT,Data Scientist,153900,EUR,153900,DE,100,DE,M
2023,EX,FT,Data Engineer,139500,EUR,139500,DE,100,DE,M
2023,EX,FT,Data Scientist,130500,EUR,130500,DE,0,DE,M
2023,EX,FT,Data Engineer,153900,EUR,153900,DE,0,DE,M
2023,EX,FT,Data Scientist,112500,EUR,112500,DE,0,DE,M
2023,EX,FT,Data Scientist,98010,EUR,98010,DE,0,DE,M
2023,EX,FT,Data Scientist,106920,EUR,106920,DE,0,DE,M
2023,EX,FT,Data Scientist,98010,EUR,98010,DE,100,DE,M
2023,EX,FT,Data Engineer,117000,EUR,117000,DE,100,DE,M
2023,EX,FT,Data Analyst,140940,EUR,140940,DE,0,DE,M
2023,EX,FT,Data Analyst,121500,EUR,121500,DE,0,DE,M
2023,EX,FT,Data Scientist,178200,EUR,178200,DE,0,DE,M
2023,EX,FT,Data Engineer,121500,EUR,121500,DE,0,DE,M
2023,EX,FT,Data Scientist,129600,EUR,129600,DE,0,DE,M
2023,EX,FT,Machine Learning Engineer,113400,EUR,113400,DE,0,DE,M
2023,EX,FT,Data Scientist,105300,EUR,105300,DE,0,DE,M
2023,EX,FT,Data Engineer,125550,EUR,125550,DE,0,DE,M
2023,EX,FT,Data Scientist,129600,EUR,129600,DE,100,DE,M
2023,EX,FT,Data Scientist,194400,EUR,194400,DE,0,DE,M
2023,EX,FT,Data Scientist,121500,EUR,121500,DE,100,DE,M
2023,EX,FT,Data Scientist,153900,EUR,153900,DE,100,DE,M
2023,EX,FT,Data Scientist,125550,EUR,125550,DE,100,DE,M
2023,EX,FT,Data Scientist,194400,EUR,194400,DE,0,DE,M
2023,EX,FT,Data Scientist,121500,EUR,121500,DE,0,DE,M
2023,EX,FT,Data Scientist,81000,EUR,81000,DE,0,DE,M
2023,EX,FT,Data Scientist,85050,EUR,85050,DE,0,DE,M
2023,SE,FT,Research Scientist,151560,EUR,151560,DE,0,DE,M
2023,SE,FT,Research Scientist,81630,EUR,81630,DE,0,DE,M
2023,SE,FT,Data Engineer,167310,EUR,167310,DE,0,DE,M
2023,SE,FT,Data Engineer,116370,EUR,116370,DE,0,DE,M
2023,SE,FT,Data Analyst,152100,EUR,152100,DE,0,DE,M
2023,SE,FT,Data Analyst,99000,EUR,99000,DE,0,DE,M
2023,SE,FT,Data Analyst,72000,EUR,72000,DE,0,DE,M
2023,SE,FT,Data Analyst,63000,EUR,63000,DE,0,DE,M
2023,SE,FT,Data Analyst,122855,EUR,122850,DE,100,DE,M
2023,SE,FT,Data Analyst,90805,EUR,90800,DE,100,DE,M
2023,SE,FT,Machine Learning Engineer,180000,EUR,180000,DE,100,DE,M
2023,SE,FT,Machine Learning Engineer,135000,EUR,135000,DE,100,DE,M
2023,SE,FT,Data Engineer,247770,EUR,247770,DE,100,DE,M
2023,SE,FT,Data Engineer,165150,EUR,165150,DE,100,DE,M
2023,SE,FT,Data Scientist,151560,EUR,151560,DE,0,DE,M
2023,SE,FT,Data Scientist,94680,EUR,94680,DE,0,DE,M
2023,MI,FT,Data Architect,216000,EUR,216000,DE,100,DE,M
2023,MI,FT,Data Architect,135000,EUR,135000,DE,100,DE,M
2023,MI,FT,Data Science Manager,117000,EUR,117000,DE,0,DE,M
2023,MI,FT,Data Science Manager,108000,EUR,108000,DE,0,DE,M
2023,MI,FT,Data Analyst,9000,EUR,9000,DE,100,DE,S
2023,MI,FT,Data Analyst,83700,EUR,83700,DE,100,DE,L
2023,SE,FT,Applied Scientist,222200,EUR,222200,DE,0,DE,M
2023,SE,FT,Applied Scientist,131310,EUR,131310,DE,0,DE,M
2023,SE,FT,Data Analyst,159300,EUR,159300,DE,100,DE,M
2023,SE,FT,Data Analyst,106200,EUR,106200,DE,100,DE,M
2023,SE,FT,Data Analyst,108315,EUR,108310,DE,0,DE,M
2023,SE,FT,Data Analyst,66960,EUR,66960,DE,0,DE,M
2023,SE,FT,Machine Learning Engineer,105000,EUR,105000,DE,100,DE,M
2023,SE,FT,Machine Learning Engineer,77400,EUR,77400,DE,100,DE,M
2023,SE,FT,Machine Learning Engineer,103500,EUR,103500,DE,0,DE,M
2023,SE,FT,Machine Learning Engineer,129870,EUR,129870,DE,0,DE,M
2023,SE,FT,Data Engineer,18000,EUR,18000,DE,0,DE,M
2023,SE,FT,Data Engineer,108000,EUR,108000,DE,0,DE,M
2023,SE,FT,Data Engineer,97200,EUR,97200,DE,100,DE,M
2023,SE,FT,Data Engineer,222200,EUR,222200,DE,100,DE,M
2023,SE,FT,Data Engineer,124470,EUR,124470,DE,0,DE,M
2023,SE,FT,Data Engineer,108000,EUR,108000,DE,0,DE,M
2023,SE,FT,Data Engineer,73800,EUR,73800,DE,100,DE,M
2023,SE,FT,Data Engineer,87000,EUR,87000,DE,100,DE,M
2023,SE,FT,Data Scientist,136890,EUR,136890,DE,100,DE,M
2023,SE,FT,Data Scientist,106200,EUR,106200,DE,100,DE,M
2023,SE,FT,Data Scientist,149670,EUR,149670,DE,0,DE,M
2023,SE,FT,Data Scientist,114000,EUR,114000,DE,0,DE,M
2023,SE,FT,Data Scientist,135000,EUR,135000,DE,100,DE,M
2023,SE,FT,Data Scientist,85500,EUR,85500,DE,100,DE,M
2023,SE,FT,Data Scientist,99000,EUR,99000,DE,0,DE,M
2023,SE,FT,Data Scientist,78300,EUR,78300,DE,0,DE,M
2023,SE,FT,Data Scientist,74700,EUR,74700,DE,0,DE,M