filename,experience_level,employment_type,job_title,remote_ratio,salary,work_year,salary_currency,company_location,salary_in_usd
1686407249.079684.txt,EN,FT,Trainee Data Science & Management,0,44496.0,2023,EUR,DE,44496.0
1686407291.4885151.txt,EN,FT,Data Scientist/Analyst,0,44000.0,2021,EUR,DE,44000.0
1686407425.0590684.txt,EN,FT,Data Scientist/Analyst,0,48000.0,2023,EUR,DE,48000.0
1686407473.343975.txt,SE,FT,Big Data Engineer,50,90000.0,2021,EUR,DE,90000.0
1686407488.6219118.txt,EN,CT,PhD researcher,100,19200.0,2021,EUR,DE,19200.0
1686407501.4927547.txt,EN,FT,Data Scientist,100,90000.0,2022,EUR,DE,90000.0
1686407568.7649038.txt,EN,FT,Junior Consultant AI & Data Science,0,22284.0,2023,EUR,DE,22284.0
1686407628.999146.txt,SE,FT,Data Scientist,100,90000.0,2021,EUR,DE,90000.0
1686407657.3974972.txt,EN,CT,PhD positions in Biomedical Sciences,0,19200.0,2023,EUR,DE,19200.0
1686407675.8746548.txt,EN,FT,Junior Consultant AI & Data Science,0,22284.0,2023,EUR,DE,22284.0
1686407697.0163987.txt,MI,FT,Machine Learning Engineer / Data Scientist,100,100000.0,2021,EUR,DE,100000.0
1686407742.0917232.txt,SE,FT,Knowledge Engineer,0,65970.0,2023,EUR,DE,65970.0
1686407830.791379.txt,SE,FT,Data Scientist,50,85000.0,2021,EUR,DE,85000.0
1686407897.7090228.txt,EN,EN,IT Schwerpunkt Data Science / ML Engineering,100,33660.0,2023,EUR,DE,33660.0
1686407960.291482.txt,EX,FT,Lead Data Scientist,0.,95000.0,2023,EUR,DE,95000.0
1686407990.3788738.txt,MI,FT,MLOps Engineer,0,95000.0,2021,EUR,DE,95000.0
1686408021.126602.txt,SE,FT,Sr. Data Engineer,100,74000.0,2023,EUR,DE,74000.0
1686408086.625323.txt,EN,FT,Medical Data Scientist,100,48000.0,2023,EUR,DE,48000.0
1686408238.761056.txt,SE,FT,Senior Data Science Engineer,0,80000.0,2021,EUR,DE,80000.0
1686408344.4646196.txt,EN,PT,International Fellow with Focus on Water Policy,0,25920.0,2023,EUR,DE,25920.0
1686408397.8940654.txt,SE,FT,Senior Data Scientist,70,80000.0,2023,EUR,DE,80000.0
1686408572.1586902.txt,SE,FT,Data Scientist mit Schwerpunkt Softwareentwicklung - Customer Facing,100,40000.0,2023,EUR,DE,40000.0
1686408591.3468113.txt,EN,CT,PhD Position,0,39296.0,2023,EUR,DE,39296.0
1686408668.775288.txt,SE,FL,Data Engineer,100,57000.0,2022,EUR,DE,57000.0
1686408725.8937166.txt,SE,FT,Data Scientist mit Schwerpunkt Softwareentwicklung - Customer Facing,100,40000.0,2023,EUR,DE,40000.0
1686408731.8082705.txt,MI,PT,Doctoral Research Associates,0,45000.0,2021,EUR,DE,45000.0
1686408810.3665037.txt,SE,FT,Senior Penetration Tester,100,100000.0,2023,EUR,DE,100000.0
1686409000.7672546.txt,SE,FT,Data Scientist mit Schwerpunkt Softwareentwicklung,100,60000.0,2023,EUR,DE,60000.0
1686409100.34332.txt,SE,FT,Algorithm Developer,100,85000.0,2023,EUR,DE,85000.0
1686409172.4912007.txt,SE,FT,Staff Software Engineer - AMO,100,80000.0,2023,EUR,DE,80000.0
1686409240.3006682.txt,MI,FT,Developer - Data Architecture & Governance - Microsoft Power Platform,50,22368.0,2023,EUR,DE,22368.0
1686409255.8459241.txt,SE,FT,Senior Data Scientist,0,70000.0,2021,EUR,DE,70000.0
1686409313.4131405.txt,MI,Vollzeit,Data Scientist & Machine Learning Engineer,100,50000.0,2021,EUR,DE,50000.0
1686409738.9365907.txt,SE,FT,Group Data Protection Counsel,0,22368.0,2023,EUR,DE,22368.0
1686409773.3588214.txt,SE,Vollzeit,PhD Students,0,50160.0,2023,EUR,DE,50160.0
1686409791.592583.txt,EN,FT,Product Owner (UX),100,79200.0,2022,EUR,DE,79200.0
1686409835.612264.txt,SE,FT,Senior C++ developer,100,130000.0,2023,EUR,DE,130000.0
1686409844.8121483.txt,SE,FT,MRI Scientist,20,80000.0,2023,EUR,DE,80000.0
1686409856.6817195.txt,EN,FT,Junior DevOps / MLOps / Software Engineer,50,50000.0,2021,EUR,DE,50000.0
1686409967.8105314.txt,EN,FT,Jr. Data Engineer,0,75000.0,2023,EUR,DE,75000.0